,ciudades,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
32,Jaen,0.3638543994413408,0.0003793239399533851,0.9876082342062126,0.9704356974364454,0.9648803278623944,0.9876184953176048,0.9704786148172753,0.07385345158235032,0.9933413448651742,0.18926606546734454,0.0019270048644678115,0.16451022950854505,0.11808768012398166,0.41240541719525187,0.374843094487716,0.05849594773961768,0.07695049234513451,0.3499308096585527,0.3366094256532812
33,Jerez,0.11566934357541897,0.002056952726552685,0.9493427136312053,0.8870017848212428,0.9304671198717333,0.9493853459115886,0.8871644267768036,0.19100138548605514,0.9921485498829541,0.16507691944129418,0.00913567759735974,0.12091344992962678,0.19110961070520172,0.17429310794510472,0.3812511618409905,0.10798802164963278,0.07867473633146427,0.12895713954240834,0.5465873028566258
34,Laganes,0.22255900837988823,0.0010623276331721554,0.9697390820058006,0.9301011398704281,0.937584286556565,0.9697639567531566,0.9302012947031649,0.03808129750377682,0.9614351959400298,0.037538985902160225,0.02269107218693973,0.06807957683290318,0.31990556157255806,0.35075131706693924,0.5299441768176937,0.06894756044773424,0.08183835010366788,0.2715064520548989,0.09009971782077032
35,Las_Palmas,0.16487988826815642,0.001562298425559678,0.9574747278382582,0.9038352476589633,0.9453724628679555,0.9575099188691054,0.9039737751060432,0.26975491769273524,0.9986530798234488,0.5370235628176151,0.001172252763267682,0.36755574838351207,0.092027794070974,0.2997522227803586,0.1449104564334052,0.06758176640686799,0.15936395268852444,0.5837084625412036,0.43744804459808506
36,Leon,0.2847451117318436,0.0015517978035522462,0.9547662456391074,0.8981804686309606,0.9296792416409402,0.9548055557150485,0.8983273359335925,0.051435191345800095,0.9894011007666057,0.1274423905715355,0.00458707575839314,0.34746823979386954,0.044574650067136505,0.46577908249277616,0.5025608999912956,0.07499403143725887,0.20447679842583802,0.4918078864236143,0.1706620656462926
37,Lleida,0.2610900837988827,0.0019646090212520236,0.9488698457399859,0.8860363501638456,0.9116250119823147,0.9489122259033205,0.8862008168366551,0.04430424334457899,0.9937545790818607,0.19934201709268337,0.0028619540195879466,0.05931754506303813,0.1051464734971234,0.30565823465919173,0.6349906170909324,0.018911485466938726,0.09341836178942392,0.4055390308952769,0.20468582304206612
38,Logronio,0.31555097765363127,0.003190336039317154,0.9152949119414905,0.8210190361965288,0.8609368660042361,0.9153666392976695,0.8212766125040862,0.015216863791848334,0.9956331194939332,0.2629621366853793,0.0014021005200110506,0.15563639401940754,0.1648678539349842,0.2505963036548345,0.6281296079421825,0.011912343467029293,0.010651613205010624,0.6187280775992653,0.041953113456833516
39,Lugo,0.42204853351955307,0.001138920405461664,0.9714203900634694,0.9337902762331737,0.96630638746013,0.9714451404718569,0.933886380673188,0.04870335725971211,0.9962339843819805,0.29282145302913637,0.0005907920404788025,0.3314758574567878,0.12671157359077687,0.26068858703071024,0.33241339676773984,0.0934718371222954,0.10898259024779666,0.6652432976346311,0.23755223546104942
40,Madrid,0.0,0.04577289519443887,0.49712338699508224,0.3176147251862113,0.48274743644120655,0.48893852310766356,0.30015661943577626,1.0,0.9942035524740445,0.21161383474255,0.09278974491530266,0.08721309087990405,0.09894007711625558,0.35298627892528117,0.06254409225241228,0.12215445771593522,0.5463125654946152,1.0,0.17796977828925878
41,Malaga,0.19078631284916198,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.06019428115191033,0.9904241346652132,0.13929409274407034,0.007480655447980882,1.0,0.0,0.43694799839594517,0.07500827222885914,0.15614229285789705,1.0,0.3095189958778809,0.5418349603218782
42,Marbella,0.07586347765363127,0.008424741689110641,0.8197086082972554,0.665824940837886,0.7597312809980841,0.8198618535509838,0.6663060787508255,0.11224785327937506,0.9977461982452067,0.40928289616577357,0.004918411320493633,0.06407748310728732,0.011453126535638581,0.3493293823443428,0.0,0.41936793428541375,0.014117834375607818,0.35343282398247966,0.7568043284204711
43,Mataro,0.45759671787709494,0.0004470264797450073,0.9869738031188265,0.9689587784058759,0.9871378878823015,0.9869846063744883,0.9690030050451677,0.06354449601966294,0.992313843569629,0.16804424903390464,0.0016243682812969412,0.13773399439960465,0.05363434028025414,0.2947384569753055,0.29696425461748144,1.0000000000000002,0.06503105396689865,0.49291328806975465,0.37011434224392614
44,Melilla,0.6842852653631285,0.0004865361730544866,0.9862920852423186,0.9673775393239175,0.9610722497468941,0.9863036351004519,0.9674249953066683,0.04816325252635947,0.9825324779757332,0.08088367879090398,0.002688043054121785,0.13401762152617014,0.39058083882744227,0.2242771064734848,0.18867448508365395,0.06173495276004183,0.019424761566953212,0.2996719270629003,0.3300187661457286
45,Mostoles,0.3042772346368715,0.0005697911046848476,0.9829728153503426,0.9597248732511375,0.9609987144453535,0.9829872016444368,0.9597830696096593,0.03596001659452224,0.9899170851128467,0.1331499368209823,0.00400813621966749,0.07232135366786224,0.12576793886401808,0.4571024618036608,0.45913242321478387,0.05308844339701449,0.17698239781116606,0.34105120284432844,0.24142061502111345
46,Murcia,0.036580656424581005,0.009239400239767144,0.8197624626959775,0.6659033389371115,0.763430369291658,0.8062653950609487,0.6293003062809251,0.47026684304869554,0.9971051267847253,0.3503040377025361,0.013187032749637739,0.1503386391830625,0.06701184308107715,0.14782228288704996,0.29412496834153345,0.04867847579496776,0.11263783709199846,0.35117811987584424,0.6284986016218804
47,Ourense,0.24808414804469273,0.01305308938005916,0.7626347673489976,0.5885749944204578,0.7113109111943051,0.7628371123602603,0.5891673963758289,0.10550045791488263,0.998845177891746,0.5754760427956618,0.00033601979970980457,0.0,0.03195719179637438,0.12003021752465236,0.16755717032502995,0.0,0.03583746314038363,0.2593560033524172,0.8637961999314563
48,Oviedo,0.2723041201117319,0.0032575311961126185,0.9143990899920139,0.8193726761127946,0.8454498062476117,0.914470926660657,0.8196329617614895,0.03932588667193725,0.9947552759957827,0.2288268989508893,0.0022156299638784113,0.043676150922072526,0.022727638510451908,0.42854317735216524,0.3312462180601464,0.04061366140574266,0.07393732317334673,0.7711622577472065,0.211251189004134
49,Palencia,0.4348858240223464,0.002659260463252147,0.9312988630154262,0.851180175902574,0.8794283680809518,0.9313574065674111,0.8513940180040147,0.020343944956282826,0.9883088222154717,0.11681323244028928,0.003011443899910829,0.14767728372580424,0.054961421826325685,0.3652025665635194,0.6797156356043744,0.005229618997750072,0.01783628960434111,0.2916864300608687,0.26107361178143074
50,Palma,0.08250314245810056,0.0014748741293087193,0.9609397986633602,0.9111458704117356,0.9573574038887042,0.9609721927160191,0.9112743675817461,0.24784545177021283,0.9978288450885437,0.41836601056781336,0.004374041545491359,0.11821526371106746,0.08459014930030342,0.2645959887086576,0.1809778909963863,0.4808926511016073,0.13021437005279674,0.4967222684604996,0.483705877604279
51,Parla,0.4288421787709497,0.0012971135996114602,0.964936845866084,0.9196874697708942,0.9581347770764203,0.9649673007470014,0.9198037596541507,0.02428123018637527,0.903841514626258,0.014491850619261839,0.029749218740357748,0.36743240523792925,0.07181986322189239,0.3373999866087596,0.5746099454512011,0.03372188940607469,0.35003604917272524,0.43582422435872326,0.19665217446777872
52,Pontevedra,0.44959986033519556,0.0033883698287304424,0.911839035769829,0.814691550897753,0.8509636407327793,0.911913552247033,0.8149580094496791,0.02848465398072844,0.9889186218973931,0.12252384188758546,0.0026958042063207678,0.07454416219614059,0.018475564119046856,0.2172013133750062,0.39481258136687103,0.1519271761225844,0.05777966713503405,0.3353756404858733,0.5743761832953044
53,Sabadell,0.24396124301675973,0.001248118050286861,0.9616031272329874,0.9125545072268506,0.9223178327045626,0.9616347903975013,0.9126803978895105,0.17016430142540687,0.9983470631332536,0.4860680977321873,0.0006305845969954023,0.20052267764314785,0.03275116467386226,0.3570010512202709,0.3906456002930614,0.15341576101809307,0.08965357433281348,0.5019817232629628,0.3485146160332996
54,Salamanca,0.3032894553072626,0.002142590152251959,0.9386020448909254,0.8654340883786831,0.8978620924207427,0.9386540195104587,0.8656276133324757,0.04673862844708148,0.9913511195296723,0.1520528892977187,0.0033912675332060174,0.08870323177804822,0.09539007853739652,0.5798045361733395,0.4442450008906831,0.1581222620798448,0.056437515982384355,0.5353241660045241,0.08088662275651481
55,Santander,0.21731319832402235,0.001216748545046168,0.9662595624395781,0.9225388845088518,0.9406780217428129,0.9662890510613622,0.9226512664118922,0.050480223556393984,0.9943107700005362,0.21475676566471535,0.0032832646860843275,0.09062830779769586,0.09378401809028772,0.33615769361847697,0.2675916121278479,0.1123706469665495,0.10832535611265215,0.6181227950841358,0.3228587998144299
56,Santa_coloma,1.0,0.005153158190017491,0.876339792358455,0.7531136374125845,0.8234824480427134,0.8764444801708745,0.7534694552715635,0.025165749532300614,0.9776630153142367,0.06408928698457941,0.002170738044375453,0.3862085934591126,0.028073266940056067,0.4923678384395281,0.06637134411504192,0.02303024249325188,0.02970651058189415,0.9040474555753995,0.25039169714039294
57,Santa_Cruz,0.26225768156424584,0.0024438653513181637,0.9317375793367241,0.8520261166829258,0.8754942294485245,0.9317949277401056,0.852239474136788,0.13877560605230407,0.9993611622379874,0.709957492706013,0.0,0.0848647533032303,0.03909215776418191,0.229086369490139,0.2956375159552397,0.039682639029068156,0.0907715272640531,0.633961377110962,0.4337569689465985
58,San_Cristobal,0.18195425977653631,0.00695897839360249,0.8530615568912615,0.715764530044491,0.8138296265851125,0.8531869570459858,0.7161735495635531,0.18617958091003736,0.9999821304122514,0.9899474207147653,1.5994992912108513e-05,0.11786040340500796,0.05213214760916283,0.16056802685003252,0.22064561543943675,0.06005607387655995,0.023144007997045857,0.29984182700525114,0.7336870480437887
