Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Madrid,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,0.058042,0.663808,0.782504,1.525577,0.806105,0.894291,0.733647,123098,0.998446,643.361666,214237.1569,1.038102,1.25444,1.205531,0.301839,0.274237,inf,1.06819,0.350863,0.504962,10.248382,219.605314,12057792.36,874.818229,17059,3334730,1553899,1780831,2012707,1531490,1320531,57325,153101,0.786506149,13.96393448,27.12639268,13.70369557,0.909222196,3.08618411,30.89636255,9.527702268
Málaga,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,0.231482,0.676318,0.776218,1.497082,0.791311,0.887106,0.719944,46248,0.999177,1215.723799,28427.48739,1.045858,1.236386,1.195609,0.33595,0.313932,1.077701,1.068645,0.521593,0.501037,10.104268,144.608844,3989460.882,1154.358797,11246,578460,277789,300671,420160,254736,211358,14890,28410,1.864574895,5.110216948,18.10596646,18.32285617,1.004683791,1.346577432,21.18167968,33.06344462
Marbella,3168.727803,2.135795,0.178239,5.418642,0.063617,10.20654,49.245705,8.446928,0.252467,0.998898,0.665668,1.09562,0.640649,0.760763,0.526882,17778,0.99829,584.782661,54186.41859,1.054742,1.250681,1.185366,0.247345,0.169418,1.070926,1.056655,0.211107,0.497154,10.688337,97.523648,2526590.195,797.351603,9993,147633,70833,76800,128691,86716,48791,26231,11678,0.62215373,0.984625537,19.57024139,5.143135168,2.663106728,0.194925208,20.96231564,49.8594966
Mataró,594.463594,5.236858,0.051442,2.462405,0.015254,5.555791,29.73569,4.219238,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,11556,0.995858,241.415842,24624.05073,1.015978,1.350681,1.312535,0.369457,0.403057,1.114026,1.104583,0.631793,0.645094,16.693761,71.813266,920497.1209,1548.449948,12201,129661,64476,65185,82443,54329,47081,1272,5957,1.037829449,4.016876473,17.27686117,19.15065419,6.103669416,0.467122565,26.58451317,25.36247357
Melilla,401.005097,6.104528,0.041811,3.416999,0.00939,4.313018,40.89123,3.119782,1.994987,0.639054,0.79249,1.572577,0.793978,0.905703,0.75625,9591,0.991479,117.35592,34169.99307,1.070934,1.19913,1.157815,0.444843,0.437038,1.076771,1.067197,0.480239,0.446324,9.21604,60.528787,542851.8849,1353.728142,11665,87076,44162,42914,72353,26246,24666,200,1367,1.016856341,28.23870996,14.3167599,14.04272964,0.54393563,0.223297634,18.79531409,22.8223968
Móstoles,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.88974,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,8032,0.994785,191.749053,46017.16061,1.017083,1.297285,1.263912,0.283876,0.264516,1.09021,1.080007,0.57319,0.570475,7.604313,62.325516,866535.2921,982.049118,12064,210309,102307,108002,127220,79599,74951,1649,2992,0.668677476,9.202293212,24.09781895,26.79997114,0.492700331,1.065648059,20.46323557,17.20965526
Murcia,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.88974,0.188628,0.735037,0.75396,1.402262,0.751272,0.861669,0.674345,57688,0.998245,569.772079,74436.04097,1.047906,1.268026,1.221349,0.317831,0.307044,1.086123,1.074292,-153655.9954,0.531412,11.48254,172.658116,5086644.201,1199.352739,11778,459403,224929,234474,358228,207618,156916,14611,36044,1.037802889,7.476055071,13.77790411,22.31853906,0.541381515,0.346356319,16.53097129,37.97098974
Ourense,1072.807433,1.343457,0.06342,1.306178,0.023652,6.570052,25.322967,5.014611,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,16916,0.998782,821.333532,13061.77565,1.096012,1.280935,1.224703,0.326494,0.291726,1.087607,1.077016,0.56419,0.543765,6.478429,103.781409,1541938.731,1437.293109,13037,105643,47891,57752,73491,67104,43805,8707,14561,0.260536632,2.458586705,9.937318601,13.04664616,0.178122256,0.311044864,17.17025435,56.63749043
Oviedo,981.507459,3.520464,0.11599,2.993032,0.032942,8.17277,37.143082,5.842881,0.815073,0.764665,0.737757,1.338482,0.705927,0.84315,0.643674,8462,0.996951,327.930774,29930.32486,1.057826,1.254438,1.205068,0.265896,0.243552,1.35325,1.065915,0.538619,0.514612,9.230418,66.354134,950174.9494,968.077156,14657,219910,101749,118161,133254,123730,97821,7283,18582,0.507020142,1.795108367,22.89803533,20.76770152,0.418780422,0.514738154,37.80021051,15.29840555
Palencia,624.655113,3.783919,0.103471,3.707235,0.021156,7.332732,55.588778,4.845938,1.280707,0.737545,0.750623,1.388791,0.731803,0.857855,0.667867,6037,0.994065,168.496219,37072.35186,1.043739,1.245576,1.201339,0.295989,0.296904,0.661278,1.068949,0.549911,0.518849,9.575122,50.37555,602511.9897,964.551441,13662,78144,36875,41269,51281,44610,32691,4745,7137,1.093943754,4.112275441,20.23707835,37.20466967,0.20911061,0.214805186,18.47343359,18.4546834
